InputsCode,Penalty,Radius,VolFrac
01-A-P5-R3.000-V0.500,5,3.0,0.5
01-A-P5-R3.000-V0.550,5,3.0,0.55
01-A-P5-R3.000-V0.600,5,3.0,0.6
01-A-P5-R3.000-V0.650,5,3.0,0.65
01-A-P5-R4.000-V0.200,5,4.0,0.2
01-A-P5-R4.000-V0.250,5,4.0,0.25
01-A-P5-R4.000-V0.300,5,4.0,0.3
01-A-P5-R4.000-V0.350,5,4.0,0.35
01-A-P5-R4.000-V0.400,5,4.0,0.4
01-A-P5-R4.000-V0.450,5,4.0,0.45
01-A-P5-R4.000-V0.500,5,4.0,0.5
01-A-P5-R4.000-V0.550,5,4.0,0.55
01-A-P5-R4.000-V0.600,5,4.0,0.6
01-A-P5-R4.000-V0.650,5,4.0,0.65
01-A-P5-R5.000-V0.200,5,5.0,0.2
01-A-P5-R5.000-V0.250,5,5.0,0.25
01-A-P5-R5.000-V0.300,5,5.0,0.3
01-A-P5-R5.000-V0.350,5,5.0,0.35
01-A-P5-R5.000-V0.400,5,5.0,0.4
01-A-P5-R5.000-V0.450,5,5.0,0.45
01-A-P5-R5.000-V0.500,5,5.0,0.5
01-A-P5-R5.000-V0.550,5,5.0,0.55
01-A-P5-R5.000-V0.600,5,5.0,0.6
01-A-P5-R5.000-V0.650,5,5.0,0.65
01-A-P5-R6.000-V0.200,5,6.0,0.2
01-A-P5-R6.000-V0.250,5,6.0,0.25
01-A-P5-R6.000-V0.300,5,6.0,0.3
01-A-P5-R6.000-V0.350,5,6.0,0.35
01-A-P5-R6.000-V0.400,5,6.0,0.4
01-A-P5-R6.000-V0.450,5,6.0,0.45
01-A-P5-R6.000-V0.500,5,6.0,0.5
01-A-P5-R6.000-V0.550,5,6.0,0.55
01-A-P5-R6.000-V0.600,5,6.0,0.6
01-A-P5-R6.000-V0.650,5,6.0,0.65
01-A-P5-R8.000-V0.200,5,8.0,0.2
01-A-P5-R8.000-V0.250,5,8.0,0.25
01-A-P5-R8.000-V0.300,5,8.0,0.3
01-A-P5-R8.000-V0.350,5,8.0,0.35
01-A-P5-R8.000-V0.400,5,8.0,0.4
01-A-P5-R8.000-V0.450,5,8.0,0.45
01-A-P5-R8.000-V0.500,5,8.0,0.5
01-A-P5-R8.000-V0.550,5,8.0,0.55
01-A-P5-R8.000-V0.600,5,8.0,0.6
01-A-P5-R8.000-V0.650,5,8.0,0.65
01-A-P6-R1.750-V0.200,6,1.75,0.2
01-A-P6-R1.750-V0.250,6,1.75,0.25
01-A-P6-R1.750-V0.300,6,1.75,0.3
01-A-P6-R1.750-V0.350,6,1.75,0.35
01-A-P6-R1.750-V0.400,6,1.75,0.4
01-A-P6-R1.750-V0.450,6,1.75,0.45
01-A-P6-R1.750-V0.500,6,1.75,0.5
01-A-P6-R1.750-V0.550,6,1.75,0.55
01-A-P6-R1.750-V0.600,6,1.75,0.6
01-A-P6-R1.750-V0.650,6,1.75,0.65
01-A-P6-R2.000-V0.200,6,2.0,0.2
01-A-P6-R2.000-V0.250,6,2.0,0.25
01-A-P6-R2.000-V0.300,6,2.0,0.3
01-A-P6-R2.000-V0.350,6,2.0,0.35
01-A-P6-R2.000-V0.400,6,2.0,0.4
01-A-P6-R2.000-V0.450,6,2.0,0.45
01-A-P6-R2.000-V0.500,6,2.0,0.5
01-A-P6-R2.000-V0.550,6,2.0,0.55
01-A-P6-R2.000-V0.600,6,2.0,0.6
01-A-P6-R2.000-V0.650,6,2.0,0.65
01-A-P6-R2.250-V0.200,6,2.25,0.2
01-A-P6-R2.250-V0.250,6,2.25,0.25
01-A-P6-R2.250-V0.300,6,2.25,0.3
01-A-P6-R2.250-V0.350,6,2.25,0.35
01-A-P6-R2.250-V0.400,6,2.25,0.4
01-A-P6-R2.250-V0.450,6,2.25,0.45
01-A-P6-R2.250-V0.500,6,2.25,0.5
01-A-P6-R2.250-V0.550,6,2.25,0.55
01-A-P6-R2.250-V0.600,6,2.25,0.6
01-A-P6-R2.250-V0.650,6,2.25,0.65
01-A-P6-R2.500-V0.200,6,2.5,0.2
01-A-P6-R2.500-V0.250,6,2.5,0.25
01-A-P6-R2.500-V0.300,6,2.5,0.3
01-A-P6-R2.500-V0.350,6,2.5,0.35
01-A-P6-R2.500-V0.400,6,2.5,0.4
01-A-P6-R2.500-V0.450,6,2.5,0.45
01-A-P6-R2.500-V0.500,6,2.5,0.5
01-A-P6-R2.500-V0.550,6,2.5,0.55
01-A-P6-R2.500-V0.600,6,2.5,0.6
01-A-P6-R2.500-V0.650,6,2.5,0.65
01-A-P6-R2.750-V0.200,6,2.75,0.2
01-A-P6-R2.750-V0.250,6,2.75,0.25
01-A-P6-R2.750-V0.300,6,2.75,0.3
01-A-P6-R2.750-V0.350,6,2.75,0.35
